id,symbol,date,time,current_price,market_cap,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,ath,atl
bitcoin,btc,2025-12-11,20:24:09,91235.0,1821121698159,50144858472.0,93689.0,89426.0,-2320.092672889572,-2.47992,126080.0,67.81
ethereum,eth,2025-12-11,20:24:09,3210.37,387536584923,29332080818.0,3404.11,3160.13,-193.74081657910074,-5.69138,4946.05,0.432979
tether,usdt,2025-12-11,20:24:09,1.0,186097807411,88133003297.0,1.0,1.0,7.86e-06,0.00079,1.32,0.572521
ripple,xrp,2025-12-11,20:24:09,2.02,121626464507,3707834106.0,2.09,1.99,-0.07157060611037691,-3.42504,3.65,0.00268621
binancecoin,bnb,2025-12-11,20:24:09,878.58,120996414452,1765400887.0,907.78,861.83,-26.362806026593034,-2.9132,1369.99,0.0398177
usd-coin,usdc,2025-12-11,20:24:09,0.999896,78278763968,14408584603.0,1.0,0.998645,0.00014092,0.0141,1.17,0.877647
solana,sol,2025-12-11,20:24:09,134.72,75664868268,6501561491.0,140.82,129.42,-6.097712530592531,-4.33009,293.31,0.500801
staked-ether,steth,2025-12-11,20:24:09,3209.98,28004937831,31756803.0,3402.97,3154.24,-185.5518575734477,-5.46459,4932.89,482.9
tron,trx,2025-12-11,20:24:09,0.280583,26549788646,631698198.0,0.281577,0.278179,0.00175243,0.62849,0.431288,0.00180434
dogecoin,doge,2025-12-11,20:24:09,0.139319,21127331258,1521207146.0,0.148713,0.136566,-0.009394625447342347,-6.31727,0.731578,8.69e-05
cardano,ada,2025-12-11,20:24:09,0.419612,15325541132,1184755358.0,0.468555,0.411054,-0.04894333261386857,-10.44558,3.09,0.01925275
figure-heloc,figr_heloc,2025-12-11,20:24:09,1.032,14600051819,10423134.0,1.035,1.021,0.0115302,1.12979,1.37,0.155357
whitebit,wbt,2025-12-11,20:24:09,61.36,13150902273,152188540.0,64.1,60.62,-2.729062456026135,-4.25855,64.11,3.06
wrapped-steth,wsteth,2025-12-11,20:24:09,3920.36,12226447669,60246145.0,4155.57,3856.29,-232.15126398946495,-5.59062,7256.02,558.54
wrapped-bitcoin,wbtc,2025-12-11,20:24:09,91071.0,11386707503,289996839.0,93550.0,89217.0,-1962.6267156365648,-2.10959,125932.0,3139.17
wrapped-beacon-eth,wbeth,2025-12-11,20:24:09,3485.03,11376973156,10509089.0,3694.01,3427.04,-207.72048375450095,-5.62509,5330.78,1501.6
bitcoin-cash,bch,2025-12-11,20:24:09,564.88,11255659176,323162052.0,579.11,552.6,-13.60116620838221,-2.35118,3785.82,76.93
usds,usds,2025-12-11,20:24:09,0.999743,9730778688,4209283.0,1.0,0.998765,-5.2901855765008e-05,-0.00529,1.057,0.948265
chainlink,link,2025-12-11,20:24:09,13.77,9583629715,721051413.0,14.7,13.44,-0.925349905569476,-6.29554,52.7,0.148183
wrapped-eeth,weeth,2025-12-11,20:24:09,3476.19,9407493608,8347981.0,3718.73,3421.69,-242.5395933530831,-6.52211,5296.78,1505.24
binance-bridged-usdt-bnb-smart-chain,bsc-usd,2025-12-11,20:24:09,1.0,8988064934,1295435336.0,1.001,0.996976,0.00305085,0.30601,1.05,0.942186
leo-token,leo,2025-12-11,20:24:09,9.51,8765212529,599257.0,9.54,9.4,0.01522632,0.16042,10.14,0.799859
weth,weth,2025-12-11,20:24:09,3210.07,8292829999,36127832.0,3406.19,3159.81,-189.41155286184676,-5.57178,4950.08,82.1
stellar,xlm,2025-12-11,20:24:09,0.241605,7808564573,157447988.0,0.257332,0.239613,-0.015206825551521669,-5.92139,0.875563,0.00047612
hyperliquid,hype,2025-12-11,20:24:09,28.44,7696706304,363587711.0,29.76,26.99,-1.171877128928834,-3.9569,59.3,3.81
monero,xmr,2025-12-11,20:24:09,413.56,7608461013,179599052.0,413.37,395.67,13.4,3.34981,542.33,0.216177
zcash,zec,2025-12-11,20:24:09,458.28,7528677132,1289190929.0,464.25,391.86,48.91,11.94888,3191.93,16.08
coinbase-wrapped-btc,cbbtc,2025-12-11,20:24:09,91250.0,6626045754,541695802.0,93874.0,89539.0,-2624.4790000498033,-2.79574,125954.0,57439.0
ethena-usde,usde,2025-12-11,20:24:09,0.999571,6557346220,188293059.0,1.001,0.997945,0.00123248,0.12345,1.034,0.929486
litecoin,ltc,2025-12-11,20:24:09,81.99,6268362669,590401731.0,86.36,80.54,-4.374999379921718,-5.06579,410.26,1.15
sui,sui,2025-12-11,20:24:09,1.57,5867607863,923230476.0,1.69,1.53,-0.12391295168581284,-7.31357,5.35,0.364846
